id_cliente,cliente,correo,telefono
cl1000,Paola Mendoza 0,cliente061@empresa.com,73372703
cl1001,Elena Ramirez 1,cliente186@outlook.com,75447071
cl1002,Valeria Martinez 2,cliente25@outlook.com,76605966
cl1003,Daniela Rivera 3,cliente317@correo.sv,73134898
cl1004,Elena Morales 4,cliente426@correo.sv,78399637
cl1005,Ana Mendoza 5,cliente555gmail.com,78847864
cl1007,Marta Hernandez 7,cliente735@empresa.com,72952127
cl1008,Diego Torres 8,cliente870@empresa.com,79305719
cl1009,Daniela Morales 9,cliente987@gmail.com,79050212
cl1011,Daniela Santos 11,cliente117@gmail.com,77253653
cl1013,Carlos Flores 13,cliente1367@gmail.com,74871926
cl1014,Carmen Mendoza 14,cliente1477correo.sv,77013173
cl1015,Valeria Guerrero 15,cliente1566@correo.sv,75269728
cl1016,Marta Santos 16,cliente1652@correo.sv,+503 75486191
cl1017,Paola Torres 17,cliente179@outlook.com,79842446
cl1018,Diego Lopez 18,cliente1824@empresa.com,72547994
cl1019,Lucia Lopez 19,cliente1930@empresa.com,72736390
cl1020,Jose Flores 20,cliente2090@correo.sv,71154218
cl1021,Elena Torres 21,cliente2195@correo.sv,76817567
cl1022,Maria Ramirez 22,cliente2215@correo.sv,77277810
cl1023,Daniela Gomez 23,cliente2310@empresa.com,78553267
cl1024,Lucia Gomez 24,cliente2466@correo.sv,78506697
cl1025,Carlos Mendoza 25,cliente2514@outlook.com,77499480
cl1026,Luis Castro 26,cliente2633@gmail.com,73526332
cl1028,Lucia Romero 28,cliente2848@outlook.com,75031104
cl1029,Carlos Mejia 29,cliente2925@gmail.com,74010475
cl1030,Lucia Reyes 30,cliente309@correo.sv,76575720
cl1031,Paola Gomez 31,cliente3183@correo.sv,74472666
cl1032,Paola Gomez 32,cliente3294@correo.sv,78602035
cl1033,Pedro Rivera 33,cliente3358@gmail.com,73409894
cl1035,Ricardo Lopez 35,cliente3513@empresa.com,78185845
cl1036,Carlos Gomez 36,cliente3665@correo.sv,+503 77239477
cl1037,Daniela Gomez 37,cliente3749@empresa.com,77335047
cl1038,Fernando Rivas 38,cliente3848@empresa.com,73700897
cl1039,Elena Torres 39,cliente399@empresa.com,75334806
cl1040,Sofia Rivas 40,cliente4078@outlook.com,77144414
cl1041,Ana Romero 41,cliente4116@gmail.com,77635379
cl1042,Carmen Vasquez 42,cliente4257@correo.sv,79968734
cl1043,Ana Romero 43,cliente4365empresa.com,78261516
cl1044,Sofia Hernandez 44,cliente445@outlook.com,71094953
cl1045,Jose Santos 45,cliente4537@empresa.com,74874835
cl1046,Lucia Romero 46,cliente4690@empresa.com,78965446
